epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3295.48,1.21044,1.79836,1.48181,0.36822,0.56324,0.43603,0.28812,1.19507,1.56207,1.54695,0.000371313,0.000371313,0.000371313
43,3373.52,1.20739,1.78962,1.4765,0.39034,0.58024,0.4687,0.31138,1.2058,1.50806,1.55174,0.000365125,0.000365125,0.000365125
44,3451.67,1.22234,1.78097,1.48363,0.38271,0.59531,0.46289,0.29957,1.21107,1.55582,1.55322,0.000358938,0.000358938,0.000358938
45,3529.76,1.18253,1.75202,1.46217,0.40384,0.57581,0.47581,0.31421,1.1933,1.47831,1.54201,0.00035275,0.00035275,0.00035275
46,3607.9,1.17173,1.72749,1.44651,0.3935,0.57155,0.46069,0.29899,1.20994,1.52967,1.5685,0.000346563,0.000346563,0.000346563
47,3685.97,1.19767,1.76335,1.46361,0.4003,0.58619,0.47784,0.31272,1.20771,1.49744,1.54967,0.000340375,0.000340375,0.000340375
48,3764.03,1.18434,1.72054,1.45375,0.41989,0.53083,0.48005,0.31495,1.19794,1.48948,1.54157,0.000334188,0.000334188,0.000334188
49,3842.15,1.19942,1.75835,1.46565,0.40639,0.55439,0.47323,0.31492,1.1802,1.46647,1.5227,0.000328,0.000328,0.000328
50,3920.23,1.16737,1.70935,1.45058,0.40787,0.57647,0.48992,0.32053,1.2124,1.47814,1.55103,0.000321812,0.000321812,0.000321812
51,3998.36,1.17318,1.70827,1.43848,0.41858,0.56353,0.48149,0.31651,1.19956,1.49816,1.53142,0.000315625,0.000315625,0.000315625
52,4076.45,1.16897,1.69007,1.43552,0.40978,0.55772,0.46669,0.30998,1.18019,1.52493,1.5281,0.000309437,0.000309437,0.000309437
53,4154.48,1.16536,1.69792,1.43565,0.4173,0.55892,0.48584,0.31934,1.20084,1.47429,1.52983,0.00030325,0.00030325,0.00030325
54,4232.55,1.16465,1.69212,1.44267,0.41556,0.57908,0.49977,0.32632,1.20599,1.44343,1.54109,0.000297063,0.000297063,0.000297063
55,4310.65,1.16116,1.66419,1.44211,0.42636,0.5705,0.49683,0.32983,1.16094,1.46269,1.509,0.000290875,0.000290875,0.000290875
56,4388.86,1.15807,1.65421,1.44172,0.43792,0.61272,0.51531,0.33288,1.19662,1.43487,1.52556,0.000284688,0.000284688,0.000284688
